merchant_id,merchant_value
6011137591756543,1.0
6011579464395521,1.0
6011283998586545,1.0
6011662575953485,1.0
6011135511428615,1.0
60113176176351910,1.0
6011742179987251,1.0
6011879629796211,1.0
6011549495168486,1.0
6011121171226416,1.0
6011817545589278,1.0
6011349193512626,1.0
6011945884961111,1.0
6011744924487322,1.0
6011424349965711,1.0
6011917297279639,1.0
6011255522687825,1.0
6011675618346459,1.0
60112865151548210,1.0
60115675919557710,1.0
6011249958755263,1.0
6011643424633692,1.0
60117989994126810,1.0
6011642588761133,1.0
6011125958964479,1.0
6011473946648576,1.0
6011273519627175,1.0
6011319218592358,1.0
6011944178226646,1.0
6011187554248426,1.0
6011222549542268,1.0
6011794814524965,1.0
6011417255965899,1.0
6011493275785161,1.0
6011337624177465,1.0
6011871766621773,1.0
60114951971421410,1.0
60114214588159510,1.0
6011118321761169,1.0
60117996551167310,1.0
6011467385669184,1.0
6011114647349268,1.0
60115924475911410,1.0
6011465132545582,1.0
6011555374267745,1.0
6011399977235639,1.0
6011344522144852,1.0
6011193284657456,1.0
6011351922971396,1.0
6011269539618145,1.0
6011545526249576,1.0
6011543216932478,1.0
6011753566289573,1.0
6011147497722192,1.0
6011369564873233,1.0
6011687264315258,1.0
6011692563362159,1.0
6011947979476583,1.0
6011766238471684,1.0
6011716971563718,1.0
6011622785762753,1.0
6011676287422852,1.0
6011855462549958,1.0
6011879986684117,1.0
6011528838157133,1.0
6011385555648921,1.0
6011295634655757,1.0
6011422587862772,1.0
6011961593622985,1.0
6011767942949924,1.0
6011186613186486,1.0
6011471686837235,1.0
6011273194997836,1.0
6011631288427178,1.0
6011143699157873,1.0
6011179144684293,1.0
6011621771977995,1.0
6011198525598435,1.0
6011117527915827,1.0
6011381231544899,1.0
6011855367723641,1.0
6011599586494416,1.0
6011918424987524,1.0
6011189323114137,1.0
6011787463664371,1.0
6011539955177465,1.0
6011532353324847,1.0
60114526841494510,1.0
6011297229724428,1.0
6011967184368888,1.0
6011775477784863,1.0
6011865629482761,1.0
6011832374329571,1.0
6011775581915866,1.0
6011387392262429,1.0
6011169195346751,1.0
6011921747728914,1.0
6011349372266788,1.0
6011323289536765,1.0
6011422164692782,1.0
6011454928146912,1.0
6011251971337178,1.0
6011933753186622,1.0
6011885984557635,1.0
60117951886847810,1.0
6011277779397627,1.0
6011516938553293,1.0
6011251961759449,1.0
6011749946396666,1.0
6011754143861371,1.0
6011747614196624,1.0
6011684993169163,1.0
6011537153836148,1.0
6011556712538698,1.0
6011864699283456,1.0
6011392394732692,1.0
6011914911555221,1.0
6011194212934496,1.0
6011991366286395,1.0
60111138529894210,1.0
6011934167414816,1.0
6011916311488754,1.0
6011477581612656,1.0
6011149348879759,1.0
6011243564697563,1.0
6011391928675948,1.0
6011497824985545,1.0
6011483289264238,1.0
6011252674229415,1.0
60117933615126710,1.0
6011499188987539,1.0
6011445876487324,1.0
6011767217725124,1.0
6011481461717478,1.0
6011382939515132,1.0
6011466755357156,1.0
6011685715251767,1.0
6011755447656722,1.0
6011548578274831,1.0
6011795573628178,1.0
6011612332415963,1.0
60112948239241410,1.0
6011559198638651,1.0
60114793519678810,1.0
6011322892963838,1.0
6011842791522872,1.0
6011655127618549,1.0
6011695882962328,1.0
6011533213365111,1.0
6011798218192329,1.0
6011158194599759,1.0
6011419236452666,1.0
6011425463786114,1.0
60118964266471410,1.0
6011484785521378,1.0
6011775585988877,1.0
6011541719133651,1.0
6011669774346635,1.0
6011266937886258,1.0
6011277895168563,1.0
6011674411354646,1.0
6011316457156747,1.0
60111637962677310,1.0
6011194617156265,1.0
6011827129597951,1.0
6011948943927313,1.0
6011472321793668,1.0
6011946545729749,1.0
6011754593295229,1.0
6011253331851872,1.0
6011561728253944,1.0
6011811539728885,1.0
6011391673594559,1.0
6011213286656429,1.0
6011428147117219,1.0
60111256525755310,1.0
6011784838719261,1.0
6011918479581396,1.0
6011119783279831,1.0
6011711446138642,1.0
6011365938542827,1.0
6011393124695761,1.0
6011872576939777,1.0
6011731461319745,1.0
6011346527543681,1.0
6011561872892513,1.0
6011451419351621,1.0
6011797153633578,1.0
6011339366124283,1.0
6011114946895763,1.0
6011378727176442,1.0
6011987488268568,1.0
6011783954623836,1.0
6011963679762776,1.0
60118118798818810,1.0
6011275366277459,1.0
6011416353855945,1.0
6011367891246867,1.0
6011481322234465,1.0
6011541835811693,1.0
60119954236131610,1.0
6011721257262134,1.0
6011761462967481,1.0
6011985354647188,1.0
6011844947619149,1.0
6011977629623573,1.0
6011172989135299,1.0
6011373187615823,1.0
6011179698499981,1.0
60116557186737710,1.0
6011152537718242,1.0
6011678733595554,1.0
6011398623418573,1.0
6011863541832635,1.0
6011464994418749,1.0
60113366318987910,1.0
6011179899842351,1.0
6011142639499163,1.0
60113653674234410,1.0
6011394788942317,1.0
6011654985392578,1.0
6011277137552483,1.0
6011935746347948,1.0
6011588895873675,1.0
6011814483352454,1.0
6011583848665328,1.0
6011646378645158,1.0
6011331762558826,1.0
6011811523456642,1.0
6011346258712521,1.0
6011651277975789,1.0
60119134457594410,1.0
6011652239365432,1.0
60116956852242810,1.0
6011562315418452,1.0
6011233296165195,1.0
60112994351288410,1.0
6011366427192884,1.0
60118449884271710,1.0
6011764269821596,1.0
6011956496961845,1.0
6011939713831587,1.0
6011515133463225,1.0
6011684882345247,1.0
6011124321273296,1.0
6011284825944899,1.0
6011525773614953,1.0
6011375583635388,1.0
6011323375177953,1.0
6011846577388267,1.0
6011299539996183,1.0
6011847619897265,1.0
6011938741287218,1.0
6011486844243894,1.0
6011235119446611,1.0
6011734141611192,1.0
6011232652593685,1.0
6011916428652516,1.0
6011375856785175,1.0
6011686648473684,1.0
6011239187679244,1.0
6011385214842428,1.0
6011459848265536,1.0
6011314746792281,1.0
6011141477516294,1.0
6011217195415363,1.0
6011226449934566,1.0
6011823827556571,1.0
6011411163528121,1.0
6011921644384993,1.0
6011769978833436,1.0
6011499393956295,1.0
6011247831967956,1.0
6011429527243161,1.0
6011138719375745,1.0
60117789285586710,1.0
6011968559513389,1.0
6011882132438438,1.0
6011538657173889,1.0
6011223389489263,1.0
