card_id,initial_balance,fraud_label
4939762526288,78000,0
351264283346572,34000,0
5578975251751727,82000,0
3518192565924510,68000,0
4498491599678,20000,0
4617848674322846,10000,0
344561279829242,56000,0
4295346465117,54000,0
4268786744343453,90000,0
341472671141827,60000,0
367934367146724,50000,0
4752589986852246,40000,0
4487532557324,70000,0
346329565447725,24000,0
371147457812261,96000,0
4439592293969,62000,0
5236935459336766,26000,0
5158883889433338,84000,0
4977978119611935,78000,0
349122277457935,44000,0
4115129932374458,68000,0
4572234899296,12000,0
5416628376282435,92000,0
3654814987333610,60000,0
345655445347763,68000,0
4449494355295,62000,0
4928845434768,58000,0
4251751484189622,76000,0
5189364186547974,50000,0
345883528979977,74000,0
51476338353274710,64000,0
53888694944816410,88000,0
4638422328763444,50000,0
4569483997566347,44000,0
3754185763677510,100000,0
4732271395976677,66000,0
4215665738193583,92000,0
4496775666778261,60000,0
4278364417652358,80000,0
367111248453526,80000,0
5517622711122297,12000,0
4819481923756618,44000,0
4749781582763341,66000,0
378119127911164,72000,0
4128462365417,80000,0
4814945785921978,42000,0
366577337189422,48000,0
368638495821418,48000,0
52589832338724110,76000,0
366644664598854,40000,0
5443237113417242,72000,0
49834643399746610,10000,0
345573629236563,78000,0
4294224713123621,92000,0
4525979413624,72000,0
49135838276644610,46000,0
4954636151139382,26000,0
4672955921178,100000,0
374884533884818,76000,0
372737639543492,62000,0
5342396572767851,70000,0
4357261567923643,56000,0
4285273386584,74000,0
5356679484841689,66000,0
4698245125791,46000,0
354653993423985,60000,0
4345165354387455,76000,0
4823669142431633,80000,0
343159645857731,66000,0
4248312882831,66000,0
4819846747668613,60000,0
4517227424442488,82000,0
4287941989213195,76000,0
351447418884761,56000,0
4237637464516,50000,0
4567271815619,60000,0
4784444774278851,80000,0
4311811397534625,10000,0
4345619156149,78000,0
5576856161253271,54000,0
45581264815551510,84000,0
5535571878418212,40000,0
4966117623948789,64000,0
4131444785819,66000,0
372532774733945,60000,0
345127336585661,42000,0
4966299382856856,62000,0
5244594535325978,94000,0
4616533168976,58000,0
4649474852639224,80000,0
361199382455221,80000,0
4437987484478436,60000,0
49865971732468810,78000,0
4939437784387,48000,0
44824814566975410,38000,0
4651939313961982,54000,0
4747912934751,42000,0
4186137752824779,68000,0
5119611953756971,56000,0
4815134419545,40000,0
376777945526654,66000,0
4777381936185,64000,0
3421464254327610,76000,0
5545822912571633,30000,0
366775594744497,60000,0
4923756748314,46000,0
4571577347137,94000,0
4867867241283171,68000,0
3619717536164610,44000,0
4361497251175,74000,0
4794713779815414,74000,0
5133672615654527,56000,0
358946837778556,88000,0
5341343269559341,64000,0
4262536533633,54000,0
4146586514442677,70000,0
46241312969332210,78000,0
4231784393367968,50000,0
4475542713284,60000,0
379256651579543,86000,0
341241626334187,74000,0
5349969572468184,84000,0
4797278865374145,38000,0
5536122232825368,66000,0
355578752347779,48000,0
5491764388636157,76000,0
353549693546862,100000,0
4297692297953,42000,0
3523877649568310,78000,0
54727436323463610,90000,0
5585223593517345,76000,0
4364369318635886,22000,0
4939164463755571,76000,0
5327279262434744,82000,0
375722362797264,70000,0
4367296419822,68000,0
4273115666954753,46000,0
5259623618159772,74000,0
4762258692977675,68000,0
45879937112510,52000,0
344356367827913,50000,0
375489189771852,74000,0
373451313541173,44000,0
4683796228327,68000,0
54269651745449810,54000,0
4924553869261,12000,0
4255687746841848,64000,0
5568793788214586,50000,0
4991236364333,72000,0
4247898682651437,64000,0
4733784727663,72000,0
358174315929886,70000,0
371245888432731,80000,0
362448788411695,46000,0
5347666772845557,94000,0
4688135239658391,76000,0
355267294347295,84000,0
43761397157777310,72000,0
5467192995658424,46000,0
367114666482464,78000,0
4766772215786567,52000,0
4554999681327636,50000,0
4899715518917,18000,0
362566994245126,64000,0
372463998735922,12000,0
4578999388458,64000,0
355637184671758,62000,0
4238774378623884,100000,0
4981941117987867,60000,0
4487914796136139,72000,0
4588332857727761,28000,0
5385553825129952,40000,0
4127725277111789,50000,0
5598838392964243,78000,0
45244214778410,76000,0
54114784468826810,84000,0
4521422789926,36000,0
5276546186325138,56000,0
5113821193878263,66000,0
4833379559271,70000,0
5418134246592697,74000,0
42819227518810,80000,0
355183584255793,78000,0
4535756428794,58000,0
352443788873277,28000,0
4354666496135,66000,0
5414251485886921,54000,0
5285921977998667,10000,0
52787491396374710,46000,0
4643699542133,90000,0
5213165375989434,74000,0
4363416967675,54000,0
346764349369888,12000,0
346447418769457,90000,0
5336137915221281,50000,0
341941762121518,64000,0
4548613466311,68000,0
4863651166565299,50000,0
4249563361236,52000,0
362598582771288,42000,0
4442353227416,90000,0
4186581787648,54000,0
4761577911962,56000,0
4353378143753619,76000,0
4154794426776,60000,0
358351798138991,68000,0
5363852217828114,76000,0
342984346295159,16000,0
4369988747531823,68000,0
4558337974942496,78000,0
4867169942675668,50000,0
4761247193991,54000,0
375396979986915,74000,0
341973381797295,72000,0
341691415787831,20000,0
5522836844747522,50000,0
359575611816974,46000,0
4755656795395,64000,0
4196536155395,80000,0
5356473514183555,46000,0
4686462272412,60000,0
365293787348366,50000,0
4687784658726,58000,0
355664949688695,66000,0
352671555241431,94000,0
42989495797546410,76000,0
5262388992562141,72000,0
42845765375446510,100000,0
345218378355384,68000,0
4924678963619,18000,0
5215639424946791,96000,0
358357725642344,64000,0
